"long"	"lat"	"order"	"hole"	"piece"	"id"	"group"	"cod_dpto"	"dpto"	"mpio"
"145"	-74.15350342	4.25560093	121010	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"146"	-74.1529007	4.24860001	121011	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"147"	-74.15170288	4.24110079	121012	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"148"	-74.15170288	4.23190022	121013	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"149"	-74.15170288	4.22150087	121014	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"150"	-74.15059662	4.21169996	121015	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"151"	-74.1493988	4.20470095	121016	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"152"	-74.14769745	4.19429922	121017	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"153"	-74.14589691	4.18160009	121018	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"154"	-74.14589691	4.177001	121019	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"155"	-74.1493988	4.16950178	121020	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"156"	-74.15229797	4.16550016	121021	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"157"	-74.15750122	4.16139984	121022	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"158"	-74.1678009	4.15050077	121023	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"159"	-74.17359924	4.14820099	121024	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"160"	-74.17819977	4.14190006	121025	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"161"	-74.18280029	4.13209915	121026	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"162"	-74.18630219	4.12340021	121027	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"163"	-74.1867981	4.11940002	121028	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"164"	-74.1867981	4.1072998	121029	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"165"	-74.18849945	4.098001	121030	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"166"	-74.18849945	4.08939981	121031	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"167"	-74.1937027	4.07840109	121032	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"168"	-74.19660187	4.0744009	121033	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"169"	-74.1977005	4.06570101	121034	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"170"	-74.20240021	4.05820084	121035	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"171"	-74.20749664	4.04839993	121036	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"172"	-74.20980072	4.04610109	121037	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"173"	-74.21160126	4.03800106	121038	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"174"	-74.21330261	4.02940083	121039	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"175"	-74.21620178	4.01790094	121040	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"176"	-74.21959686	4.01150084	121041	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"177"	-74.21959686	3.99940109	121042	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"178"	-74.22940063	3.9907999	121043	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"179"	-74.23860168	3.98560095	121044	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"180"	-74.24150085	3.97929907	121045	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"181"	-74.251297	3.96140099	121046	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
"182"	-74.25990295	3.93889904	121047	FALSE	"1"	"568"	"568.1"	"14"	"Cundinamarca"	"Bogotá D.C."
